FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Quartile,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Quartile,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Quartile,% Adults with Obesity,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access to Exercise Opportunities,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile,Preventable Hospitalization Rate,Quartile,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Quartile,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Quartile,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Social Association Rate,Quartile,Annual Average Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Quartile,Presence of Water Violation,Quartile,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile,% Drive Alone to Work,95% CI - Low,95% CI - High,Quartile,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
47065,Tennessee,Hamilton,5244,8534,8182,8885,1,,,,,,,12088,11159,13017,3317,2492,4329,8074,7665,8483,19,19,20,1,4.1,3.9,4.2,1,4.6,4.4,4.7,1,,10,9,10,4,,,,8,7,10,16,15,17,8,7,9,8,7,8,19,19,20,1,29,27,33,1,6.9,4,26,23,28,1,89,1,17,17,18,4,49,193,25,22,29,2,1922,531.5,4,27,26,28,1,,,,,,,40,38,43,59,52,66,19,18,20,32272,11,10,12,2,401,111,902:1,1,270,74,1349:1,1,776,213,469:1,1,4144,1,,,5419,3966,3969,44,1,,43,44,36,44,50,2,,53,37,33,52,3023,85,4,63992,95125,67,65,69,1,6107,179683,3.4,1,18,14,22,1,,7,38,42,9,107350,22284,4.8,3,24164,74170,33,30,35,2,503,13.9,1,2353,663,4,1308,73,69,77,1,,,,32,17,55,70,61,78,18,11,29,80,75,85,10.9,4,No,1,14,13,15,13,12,13,1,1,2,1,1,1,3,82,82,83,1,,,,78,75,81,79,76,81,73,68,78,86,85,86,165608,24,22,25,1
47067,Tennessee,Hancock,167,16551,12832,20269,4,,,,,,,,,,,,,,,,24,23,25,4,5.0,4.7,5.2,4,5.1,4.9,5.4,4,,8,5,10,1,,,,,,,,,,,,,,,,25,24,26,4,33,22,45,2,7.8,2,26,16,38,1,7,4,13,12,14,2,10,15,67,57,74,4,15,227.3,1,51,39,65,4,,,,,,,,,,,,,,,,586,12,10,13,2,1,15,6600:1,4,1,15,6549:1,4,,,,2,2776,1,,,,,,24,4,,,,,,18,4,,,,,,77,88,4,583,1530,38,29,47,4,103,2031,5.1,4,41,29,53,4,,,,,,70411,14123,5.0,4,405,1297,31,19,43,2,0,0.0,4,8,121,1,48,146,107,193,4,,,,,,,,,,,,,,,,9.7,1,No,1,11,8,14,7,3,10,2,0,4,3,1,6,1,82,78,86,1,,,,,,,,,,,,,,,,2190,51,41,60,4
47069,Tennessee,Hardeman,505,10318,8847,11790,3,,,,,,,10006,7879,12132,,,,10416,8366,12467,26,26,27,4,5.2,5.0,5.4,4,5.0,4.8,5.2,4,,11,10,13,4,,,,,,,14,11,16,,,,9,7,11,26,25,27,4,37,30,45,4,5.5,4,36,27,44,4,31,4,13,12,13,1,5,24,21,11,33,1,197,774.2,4,38,33,44,3,,,,,,,44,36,53,,,,33,26,42,2098,12,10,14,3,6,24,4241:1,4,7,28,3603:1,3,29,115,870:1,1,5901,3,,,5386,,6133,38,3,,,46,,35,46,3,,,38,,49,259,88,4,2112,6811,31,27,35,4,459,9196,5.0,4,29,20,38,4,,,33,51,20,74141,16129,4.6,3,2394,4881,49,39,59,4,33,13.0,1,162,626,4,99,77,63,94,1,,,,,,,56,38,80,,,,94,72,119,9.7,1,No,1,16,13,19,14,11,18,1,1,2,1,0,1,4,84,81,87,2,,,,,,,87,79,95,,,,87,82,91,7877,40,34,45,3
47071,Tennessee,Hardin,614,12917,11230,14603,4,,,,,,,,,,,,,,,,24,23,25,4,4.9,4.7,5.1,4,5.0,4.8,5.2,4,,9,8,11,4,,,,,,,,,,,,,,,,23,22,24,3,32,26,39,2,7.5,3,33,27,40,3,48,3,13,13,14,2,11,42,26,18,35,2,99,383.0,3,39,34,45,3,,,,,,,38,18,70,,,,41,35,47,2327,12,10,13,2,13,50,1988:1,2,7,27,3682:1,3,24,93,1074:1,1,5787,3,,,,23077,5833,40,2,,,44,,40,45,3,,,36,,45,249,91,3,2837,5583,51,43,58,2,455,10387,4.4,3,29,21,38,4,,,34,56,27,81326,16978,4.8,3,1784,5305,34,24,43,3,31,12.0,2,135,521,4,159,123,104,142,4,,,,,,,,,,,,,,,,9.8,2,No,1,13,11,16,10,8,13,3,1,4,1,0,1,3,83,80,87,2,,,,,,,,,,,,,,,,9658,28,23,33,1
47073,Tennessee,Hawkins,1119,10194,9188,11200,2,,,,,,,,,,,,,,,,21,20,22,2,4.6,4.4,4.8,3,4.9,4.7,5.1,3,,9,8,9,2,,,,,,,,,,,,,,,,23,22,24,3,32,27,38,2,7.6,3,33,28,39,3,54,2,14,13,15,3,16,58,28,21,35,3,120,212.5,1,37,34,41,3,,,,,,,,,,50,24,92,38,34,42,4912,11,10,13,2,16,28,3529:1,4,10,18,5653:1,4,10,18,5653:1,4,4423,1,,,,,,43,1,,,53,,43,39,4,,,28,,40,611,97,1,5805,12767,45,41,50,3,946,23706,4.0,2,28,21,34,4,,,,39,29,77830,17784,4.4,2,4581,11521,40,34,46,4,47,8.3,3,156,275,2,256,91,79,102,2,,,,,,,,,,,,,,,,10.4,4,Yes,4,12,10,14,10,8,12,2,1,2,1,0,1,2,90,88,92,4,,,,,,,,,,,,,,,,21446,36,32,39,2
47075,Tennessee,Haywood,357,11519,9627,13412,4,,,,,,,13690,10718,16662,,,,9888,7427,12349,27,26,28,4,4.9,4.7,5.0,4,4.8,4.6,4.9,2,,12,10,14,4,,,,,,,15,13,17,,,,9,6,11,24,24,25,4,47,38,56,4,6.3,4,32,24,40,3,48,3,11,11,11,1,8,38,21,13,30,1,157,893.4,4,38,32,44,3,,,,,,,46,37,55,63,33,110,24,17,33,1597,11,10,13,2,6,34,2929:1,3,4,23,4334:1,3,,,,2,5831,3,,,5681,,6131,34,4,,,35,,34,34,4,,,32,,36,231,89,4,1927,4176,46,39,54,3,414,7738,5.4,4,31,21,41,4,,,36,,23,76094,14887,5.1,4,2058,4089,50,40,60,4,38,21.6,1,196,1088,4,66,74,57,94,1,,,,,,,54,34,80,,,,100,72,137,10.0,2,No,1,15,12,18,14,10,17,1,0,2,1,0,2,4,89,85,93,4,,,,,,,86,80,93,,,,90,85,94,7560,37,31,42,3
47077,Tennessee,Henderson,550,10317,8965,11670,3,,,,,,,15365,10037,22513,,,,9921,8522,11319,23,22,23,3,4.7,4.5,4.9,3,4.9,4.7,5.2,3,,10,9,11,4,,,,,,,20,14,25,,,,9,8,10,24,24,25,4,33,27,40,2,7.6,3,33,27,39,3,45,3,13,13,14,2,9,46,20,12,28,1,119,428.8,4,33,28,37,2,,,,,,,33,20,52,45,23,81,32,27,37,2486,11,10,13,2,9,32,3083:1,3,8,29,3481:1,3,13,47,2142:1,3,6679,4,,,8279,,6651,36,3,,,34,,36,40,4,,,30,,41,346,98,1,3183,6758,47,40,54,2,563,11981,4.7,4,23,16,30,2,,,32,97,19,80799,17844,4.5,2,2235,6357,35,27,43,3,18,6.5,4,126,446,3,120,86,71,101,2,,,,,,,,,,,,,,,,9.9,2,No,1,12,9,14,8,6,11,3,1,4,1,0,2,1,87,82,91,4,,,,,,,,,,,,,,,,11238,41,35,46,3
47079,Tennessee,Henry,686,10376,9053,11698,3,,,,,,,15224,9945,22307,,,,10245,8850,11641,22,21,22,3,4.7,4.5,4.9,3,5.0,4.8,5.2,4,,8,7,9,2,,,,,,,10,6,14,,,,8,7,9,23,22,24,3,34,27,40,2,7.4,3,33,27,40,3,64,2,13,13,14,2,14,36,39,30,47,4,141,434.5,4,41,36,47,3,,,,,,,54,36,78,,,,41,35,46,2756,11,10,13,2,22,68,1475:1,1,18,56,1798:1,1,57,176,568:1,1,4946,2,,,7258,,4743,42,2,,,50,27,42,51,1,,,45,32,52,312,91,3,3098,7010,44,38,51,3,595,14231,4.2,3,29,22,37,4,,,62,21,26,77292,17041,4.5,2,2338,6664,35,26,44,3,50,15.4,1,108,334,3,177,110,93,126,3,,,,,,,119,68,193,,,,113,95,130,10.4,4,No,1,12,10,14,10,8,12,2,1,2,1,0,2,1,84,81,86,2,,,,,,,86,78,95,,,,84,81,88,12271,21,17,25,1
47081,Tennessee,Hickman,494,10729,9284,12175,3,,,,,,,,,,,,,,,,21,20,21,2,4.5,4.3,4.8,2,4.7,4.5,5.0,2,,9,8,10,3,,,,,,,,,,,,,,,,23,22,24,3,32,24,42,2,7.9,2,28,19,37,2,35,4,14,14,15,3,9,37,24,16,33,2,71,285.6,2,40,35,46,3,,,,,,,,,,,,,,,,2468,13,11,15,4,5,20,4973:1,4,8,32,3133:1,2,10,40,2506:1,3,4524,1,,,,,,34,4,,,42,,34,42,4,,,54,,42,264,95,2,2442,6291,39,33,45,4,358,11160,3.2,1,24,16,32,2,,,,16,23,83181,18303,4.5,2,1748,5306,33,23,43,3,9,3.6,4,93,383,3,147,120,100,139,4,,,,,,,,,,,,,,,,9.8,2,Yes,4,16,12,19,13,9,16,3,1,5,1,0,1,4,79,76,81,1,,,,,,,,,,,,,,,,9538,62,54,69,4
47083,Tennessee,Houston,179,11208,8684,13732,3,,,,,,,,,,,,,,,,21,21,22,3,4.7,4.5,4.9,3,4.9,4.6,5.1,3,,8,6,10,1,,,,,,,,,,,,,,,,22,22,23,2,27,18,40,1,8.1,1,29,18,41,2,46,3,14,13,14,2,5,11,45,30,59,4,29,353.1,3,29,22,39,1,,,,,,,,,,,,,,,,809,13,11,14,4,2,24,4107:1,4,1,12,8263:1,4,16,194,516:1,1,7855,4,,,,,,31,4,,,,,,49,2,,,45,,49,98,97,1,724,1833,39,30,49,4,178,3222,5.5,4,25,17,34,3,,,,,,75674,16892,4.5,2,543,1774,31,20,41,2,10,12.2,2,18,220,1,50,122,90,161,4,,,,,,,,,,,,,,,,10.0,2,No,1,13,9,17,11,7,14,2,0,3,0,0,1,2,79,76,83,1,,,,,,,,,,,,,,,,2856,56,47,66,4
47085,Tennessee,Humphreys,375,10847,9013,12680,3,,,,,,,,,,,,,,,,19,19,20,1,4.4,4.2,4.6,2,4.7,4.5,4.9,2,,9,8,10,3,,,,,,,27,14,40,,,,8,7,10,21,20,21,1,35,25,47,3,8.1,1,26,18,36,2,39,3,14,14,15,3,10,30,33,24,43,4,34,183.9,1,36,30,43,3,,,,,,,,,,,,,,,,1646,11,10,13,2,5,27,3697:1,4,6,32,3081:1,2,10,54,1849:1,2,6559,4,,,11167,,6532,40,2,,,27,,40,48,2,,,29,,48,230,91,3,1790,4354,41,33,49,4,379,8813,4.3,3,20,13,27,1,,,27,15,24,83669,19026,4.4,2,797,3680,22,14,29,1,23,12.4,1,47,259,2,122,133,110,157,4,,,,,,,,,,,,,,,,10.0,2,Yes,4,12,9,15,10,7,12,2,0,4,1,0,1,1,86,81,91,3,,,,,,,,,,,,,,,,7040,42,35,50,3
47087,Tennessee,Jackson,257,9978,7715,12241,2,,,,,,,,,,,,,,,,24,23,25,4,5.0,4.8,5.2,4,5.0,4.8,5.3,4,,10,7,12,4,,,,,,,,,,,,,,,,24,23,25,4,34,25,43,3,8.1,1,35,25,45,4,48,3,12,12,13,1,6,16,38,24,50,4,29,248.4,1,31,24,39,2,,,,,,,,,,,,,,,,1115,13,11,14,3,2,17,5839:1,4,4,34,2940:1,2,,,,2,8182,4,,,,,,38,3,,,,,,46,3,,,,,,116,86,4,937,2520,37,28,46,4,217,4602,4.7,4,30,20,39,4,,,,56,31,71347,15743,4.5,2,644,2109,31,21,40,2,3,2.6,4,20,169,1,58,100,76,129,3,,,,,,,,,,,,,,,,9.8,2,Yes,4,13,10,17,12,8,16,2,0,3,0,0,1,3,86,81,91,3,,,,,,,,,,,,,,,,4175,59,51,68,4
47089,Tennessee,Jefferson,969,9384,8416,10353,2,,,,,,,,,,,,,,,,18,18,19,1,4.1,3.9,4.3,1,4.6,4.4,4.9,1,,8,8,9,2,,,,,,,,,,7,4,11,9,8,10,20,20,21,1,37,29,45,3,8.4,1,27,21,35,2,53,2,14,13,14,3,9,42,21,14,30,1,139,258.3,2,29,26,32,1,,,,,,,,,,33,19,53,29,26,32,4863,12,10,13,2,22,41,2446:1,2,12,22,4501:1,4,17,31,3177:1,3,4684,1,,,,,,48,1,,,63,,48,49,2,,,55,29,49,534,96,1,6138,11983,51,46,56,2,917,24009,3.8,2,21,14,27,1,,,15,23,18,92546,21192,4.4,2,2687,10704,25,19,31,1,58,10.8,2,131,247,1,191,71,61,82,1,,,,,,,,,,,,,,,,10.3,3,No,1,13,11,15,11,9,13,2,1,3,1,0,1,3,78,76,80,1,,,,,,,,,,,,,,,,22488,42,38,46,3
47091,Tennessee,Johnson,394,12429,10304,14554,4,,,,,,,,,,,,,,,,22,21,23,3,4.8,4.5,5.0,4,4.9,4.7,5.2,3,,9,7,10,2,,,,,,,,,,,,,,,,23,22,24,3,28,20,37,1,7.6,3,29,21,38,2,100,1,13,12,14,2,5,15,33,19,47,4,50,282.6,2,46,39,54,4,,,,,,,,,,,,,,,,1498,13,11,14,4,6,34,2949:1,3,4,22,4445:1,4,14,79,1270:1,2,4543,1,,,,,,40,2,,,,,,34,4,,,,,,171,96,1,1743,4465,39,33,46,4,263,7613,3.5,1,28,18,38,4,,,,,,69194,14397,4.8,3,667,2862,23,14,32,1,25,14.1,1,112,628,4,83,93,74,116,2,,,,,,,,,,,,,,,,8.6,1,Yes,4,14,11,17,11,7,14,2,1,3,2,1,3,3,83,79,88,2,,,,,,,,,,,,,,,,5713,35,29,41,2
47093,Tennessee,Knox,6816,9063,8752,9373,1,,,,,,,14332,13064,15599,4561,3528,5803,8836,8500,9171,17,16,17,1,3.9,3.8,4.1,1,4.3,4.1,4.5,1,,8,8,9,1,,,,7,6,9,14,13,15,8,7,9,8,7,8,20,19,20,1,31,28,34,1,7.3,4,21,19,24,1,84,1,17,16,17,4,74,296,25,22,28,2,2600,562.9,4,20,20,21,1,,,,,,,40,36,43,45,39,51,17,16,17,37471,10,9,11,1,520,113,888:1,1,277,60,1680:1,1,1722,370,270:1,1,4393,1,,882,7974,2554,4206,49,1,,54,49,47,49,54,1,,56,41,44,55,4366,90,4,84157,118318,71,69,73,1,7048,240034,2.9,1,15,12,18,1,,9,55,34,12,109049,22141,4.9,4,29680,96339,31,29,33,2,567,12.3,2,2285,506,4,2288,100,96,104,3,,,,,,,115,100,129,30,20,43,105,100,109,10.5,4,No,1,14,13,15,12,11,13,2,1,2,1,1,1,3,83,82,84,2,,,,80,75,86,73,69,76,75,70,79,85,84,86,223012,26,25,27,1
47095,Tennessee,Lake,158,11243,8580,13906,4,,,,,,,8897,5863,12944,,,,12992,9239,16745,27,26,28,4,5.2,5.0,5.4,4,5.0,4.8,5.2,4,,11,8,14,4,,,,,,,18,11,26,,,,9,6,12,28,27,29,4,37,24,50,4,6.8,4,31,20,43,3,23,4,14,13,15,3,1,3,33,4,64,4,58,776.6,4,73,56,94,4,,,,,,,62,33,105,,,,78,56,104,458,12,10,13,2,,,,2,1,13,7411:1,4,1,13,7411:1,4,8884,4,,,9859,,8357,32,4,,,21,,33,35,4,,,24,,36,53,96,1,730,2429,30,24,36,4,93,1804,5.2,4,41,27,56,4,,,51,,31,77482,13052,5.9,4,498,1007,49,34,65,4,9,12.1,2,16,210,1,28,74,49,107,1,,,,,,,,,,,,,,,,10.7,4,No,1,13,8,18,10,6,15,2,0,4,2,0,5,2,86,83,90,4,,,,,,,,,,,,,,,,1904,27,19,35,1
47097,Tennessee,Lauderdale,514,11346,9836,12857,4,,,,,,,12864,10128,15599,,,,10690,8857,12523,29,28,30,4,5.1,5.0,5.3,4,5.1,5.0,5.3,4,,12,10,13,4,,,,,,,17,15,20,,,,8,6,9,25,25,26,4,45,36,53,4,6.5,4,36,27,46,4,33,4,12,11,12,1,7,27,26,16,37,2,242,957.5,4,45,40,51,4,,,,,,,48,39,57,,,,44,36,51,2388,12,10,14,3,2,8,12637:1,4,5,19,5165:1,4,4,15,6456:1,4,7005,4,,,7101,,6937,34,4,,,35,,33,45,3,,,34,,47,297,98,1,2537,7045,36,32,40,4,554,9619,5.8,4,35,26,43,4,15,,40,67,22,75033,15889,4.7,3,2980,5969,50,42,58,4,17,6.7,4,186,681,4,120,91,75,107,2,,,,,,,65,44,93,,,,109,87,134,10.2,3,No,1,19,17,22,17,13,20,3,2,5,0,0,1,4,88,86,90,4,,,,,,,88,82,93,,,,90,86,94,9093,31,27,35,2
47099,Tennessee,Lawrence,843,11065,9915,12216,3,,,,,,,,,,,,,,,,21,20,22,2,4.7,4.5,4.9,3,4.9,4.6,5.1,3,,9,8,9,2,,,,,,,,,,,,,,,,23,22,23,3,33,27,40,2,8.1,1,37,30,44,4,56,2,14,13,15,3,5,29,17,8,28,1,147,338.7,3,37,33,41,3,,,,,,,,,,,,,,,,4595,13,11,15,4,16,37,2712:1,3,11,25,3976:1,3,35,80,1250:1,2,5204,2,,,5577,,5214,41,2,,,65,,41,49,2,,,39,38,49,467,95,2,4554,9934,46,41,50,3,739,18309,4.0,2,25,18,31,3,,,37,47,27,79450,17008,4.7,3,3041,10766,28,24,33,1,47,10.8,2,196,462,3,204,95,82,108,2,,,,,,,,,,,,,,,,9.9,2,No,1,14,12,16,10,8,12,4,2,5,3,2,4,3,84,81,87,2,,,,,,,,,,,,,,,,15649,36,32,40,2
47101,Tennessee,Lewis,243,11510,9259,13761,4,,,,,,,,,,,,,,,,22,21,23,3,4.7,4.5,5.0,3,4.8,4.6,5.1,3,,9,7,11,3,,,,,,,,,,,,,,,,23,22,23,3,42,31,53,4,8.1,1,31,21,41,3,21,4,14,13,15,3,1,10,10,1,30,1,36,299.1,2,50,41,58,4,,,,,,,,,,,,,,,,1142,12,10,14,3,2,17,6018:1,4,4,33,3022:1,2,5,41,2417:1,3,3266,1,,,,,,37,3,,,,,,39,4,,,31,,39,136,93,3,1196,2643,45,33,57,3,225,5072,4.4,3,25,17,32,3,,,,,,80980,19654,4.1,1,1146,2668,43,30,56,4,13,10.8,2,58,484,4,63,105,81,135,3,,,,,,,,,,,,,,,,9.5,1,No,1,8,5,11,6,3,9,2,0,4,1,0,2,1,76,69,84,1,,,,,,,,,,,,,,,,4855,34,25,42,2
47103,Tennessee,Lincoln,630,10980,9591,12369,3,,,,,,,,,,,,,,,,21,20,22,2,4.6,4.4,4.8,2,5.0,4.7,5.2,3,,8,7,9,2,,,,,,,17,12,22,,,,8,7,9,22,21,23,2,37,29,45,3,7.8,2,34,26,42,3,39,3,14,13,14,2,8,30,27,17,37,3,116,343.7,3,33,29,38,2,,,,,,,47,29,71,59,35,93,31,27,36,3084,11,10,13,2,18,53,1875:1,2,9,26,3791:1,3,12,35,2843:1,3,4265,1,,,5075,,4186,38,3,,,40,,38,51,1,,,42,,51,384,95,2,3321,7705,43,37,49,3,506,16408,3.1,1,18,12,25,1,,,43,26,18,92166,21620,4.3,2,2801,7451,38,31,44,4,22,6.5,4,157,463,3,168,99,84,115,3,,,,,,,,,,,,,,,,10.6,4,No,1,15,12,17,12,9,14,3,1,4,1,1,2,4,85,83,87,3,,,,,,,82,70,93,,,,86,83,89,14318,39,35,44,3
47105,Tennessee,Loudon,929,9454,8386,10522,2,,,,,,,,,,,,,,,,18,17,19,1,4.1,3.9,4.3,1,4.3,4.2,4.6,1,,8,7,9,2,,,,,,,,,,8,6,10,8,7,9,19,18,19,1,29,22,37,1,7.9,2,29,22,37,2,52,3,13,13,14,2,14,52,27,20,34,3,153,293.4,2,33,29,36,2,,,,,,,,,,56,43,72,30,26,34,4920,13,11,14,4,27,52,1932:1,2,26,49,2041:1,1,32,60,1658:1,2,3976,1,,,5086,,4000,55,1,,46,50,30,55,57,1,,82,51,32,57,516,91,3,5030,10462,48,43,53,2,779,22857,3.4,1,16,11,21,1,,,,26,19,101568,26020,3.9,1,2598,10122,26,19,32,1,63,12.1,2,114,221,1,263,102,89,114,3,,,,,,,,,,,,,,,,10.6,4,No,1,12,10,14,9,7,11,2,1,3,2,1,2,2,84,80,87,2,,,,,,,,,,72,57,86,83,80,85,20255,34,30,38,2
47107,Tennessee,McMinn,1059,11397,10303,12490,4,,,,,,,,,,,,,,,,21,20,22,2,4.7,4.5,4.9,3,4.6,4.3,4.8,1,,9,8,10,3,,,,,,,9,5,14,11,7,15,9,8,10,24,23,25,4,34,28,40,2,7.8,2,36,31,42,4,50,3,13,13,14,2,18,69,26,20,33,2,221,418.0,3,39,35,43,3,,,,,,,43,27,65,40,25,60,39,35,42,5075,12,10,14,3,26,49,2034:1,2,21,39,2537:1,2,37,69,1440:1,2,4365,1,,,2546,3874,4337,46,1,,,48,,46,44,3,,,33,19,44,507,94,2,5794,12420,47,41,52,3,928,22719,4.1,3,22,15,29,2,,,34,35,26,84817,16387,5.2,4,3670,11172,33,27,39,3,74,14.0,1,271,515,4,279,106,93,118,3,,,,,,,97,48,173,,,,110,96,123,10.3,3,No,1,15,13,18,14,11,16,2,1,2,1,0,1,4,85,83,88,3,,,,,,,,,,,,,,,,20648,29,26,33,1
47109,Tennessee,McNairy,606,11732,10231,13233,4,,,,,,,,,,,,,,,,25,24,25,4,4.9,4.7,5.1,4,4.9,4.7,5.2,3,,7,6,9,1,,,,,,,11,5,17,,,,7,6,8,25,24,26,4,30,24,37,1,7.5,3,38,31,45,4,37,4,13,12,13,1,8,37,22,13,31,1,80,307.6,2,35,30,40,2,,,,,,,,,,,,,,,,2320,11,10,13,2,8,31,3251:1,3,11,43,2348:1,2,35,135,738:1,1,6270,3,,,4407,46667,6199,34,4,,,41,,34,48,2,,,40,,48,297,95,2,2803,5904,47,41,53,2,457,8477,5.4,4,22,15,30,2,,,50,55,23,74449,16015,4.6,3,1909,5687,34,27,40,3,26,10.0,2,98,373,3,142,109,91,127,3,,,,,,,,,,,,,,,,9.9,2,No,1,13,11,16,11,9,14,2,1,3,1,0,1,3,88,85,90,4,,,,,,,,,,,,,,,,9159,33,29,38,2
47111,Tennessee,Macon,479,11417,9901,12932,4,,,,,,,,,,,,,,,,22,21,23,3,4.7,4.5,4.9,3,4.8,4.5,5.0,2,,10,8,11,4,,,,,,,,,,7,3,10,10,9,11,24,23,25,3,35,26,44,3,8.3,1,39,30,49,4,41,3,14,14,15,3,3,27,11,3,22,1,70,290.7,2,62,56,69,4,,,,,,,,,,92,62,132,61,54,68,2662,13,11,15,4,4,17,6020:1,4,4,16,6066:1,4,1,4,24265:1,4,10813,4,,,,,,37,3,,,,,,50,2,,,,,,270,88,4,2486,5786,43,35,50,3,353,10991,3.2,1,26,18,34,3,,,,53,17,81213,18503,4.4,2,1797,5604,32,23,41,2,8,3.3,4,67,288,2,136,115,96,135,4,,,,,,,,,,,,,,,,10.3,3,No,1,13,10,16,10,8,13,2,1,3,1,0,2,2,82,80,84,1,,,,,,,,,,,,,,,,9831,46,40,53,4
